5846531,3939.00,2019-02-19_15:36:40.737358
5846631,3951.00,2019-02-19_15:36:40.837709
5846731,3951.00,2019-02-19_15:36:40.939993
5846831,3941.00,2019-02-19_15:36:41.036742
5846931,3943.00,2019-02-19_15:36:41.137463
5847031,3951.00,2019-02-19_15:36:41.238195
5847131,3934.00,2019-02-19_15:36:41.337928
5847231,3947.00,2019-02-19_15:36:41.443647
5847331,3950.00,2019-02-19_15:36:41.540916
5847431,3947.00,2019-02-19_15:36:41.649626
5847531,3953.00,2019-02-19_15:36:41.737389
5847631,3935.00,2019-02-19_15:36:41.838120
5847731,3941.00,2019-02-19_15:36:41.937898
5847831,3947.00,2019-02-19_15:36:42.045612
5847931,3943.00,2019-02-19_15:36:42.138362
5848031,3951.00,2019-02-19_15:36:42.236781
5848131,3947.00,2019-02-19_15:36:42.338008
5848231,3947.00,2019-02-19_15:36:42.444726
5848331,3947.00,2019-02-19_15:36:42.541466
5848431,3943.00,2019-02-19_15:36:42.641930
5848531,3951.00,2019-02-19_15:36:42.737671
5848631,3949.00,2019-02-19_15:36:42.837424
5848731,3935.00,2019-02-19_15:36:42.937156
5848831,3951.00,2019-02-19_15:36:43.037887
5848931,3935.00,2019-02-19_15:36:43.139647
5849031,3951.00,2019-02-19_15:36:43.237353
5849131,3947.00,2019-02-19_15:36:43.337086
5849231,3947.00,2019-02-19_15:36:43.439043
5849331,3951.00,2019-02-19_15:36:43.541770
5849431,3943.00,2019-02-19_15:36:43.642500
5849531,3943.00,2019-02-19_15:36:43.738242
5849631,3951.00,2019-02-19_15:36:43.837490
5849731,3951.00,2019-02-19_15:36:43.942716
5849831,3947.00,2019-02-19_15:36:44.037512
5849931,3949.00,2019-02-19_15:36:44.140147
5850031,3943.00,2019-02-19_15:36:44.236959
5850131,3942.00,2019-02-19_15:36:44.340671
5850231,3941.00,2019-02-19_15:36:44.437411
5850331,3941.00,2019-02-19_15:36:44.542689
5850431,3943.00,2019-02-19_15:36:44.640937
5850531,3947.00,2019-02-19_15:36:44.736702
5850631,3947.00,2019-02-19_15:36:44.844421
5850731,3939.00,2019-02-19_15:36:44.938692
5850831,3943.00,2019-02-19_15:36:45.038426
5850931,3947.00,2019-02-19_15:36:45.145141
5851031,3943.00,2019-02-19_15:36:45.237892
5851131,3939.00,2019-02-19_15:36:45.338622
5851231,3935.00,2019-02-19_15:36:45.442345
5851331,3943.00,2019-02-19_15:36:45.538088
5851431,3935.00,2019-02-19_15:36:45.638329
5851531,3943.00,2019-02-19_15:36:45.738062
5851631,3943.00,2019-02-19_15:36:45.837795
5851731,3939.00,2019-02-19_15:36:45.938605
5851831,3943.00,2019-02-19_15:36:46.036303
5851931,3935.00,2019-02-19_15:36:46.138030
5852031,3943.00,2019-02-19_15:36:46.238804
5852131,3943.00,2019-02-19_15:36:46.338607
5852231,3939.00,2019-02-19_15:36:46.440276
5852331,3943.00,2019-02-19_15:36:46.538013
5852431,3943.00,2019-02-19_15:36:46.639741
5852531,3967.00,2019-02-19_15:36:46.735485
5852631,3943.00,2019-02-19_15:36:46.840212
5852731,3921.00,2019-02-19_15:36:46.938204
5852831,3947.00,2019-02-19_15:36:47.037205
