time,heart,breath,gsr,date
169831,2391,1561,1355,2019-03-11_12:55:07.327000
169931,2439,1584,1383,2019-03-11_12:55:07.459000
170031,2431,1584,1369,2019-03-11_12:55:07.553000
170131,2438,1584,1380,2019-03-11_12:55:07.648000
170231,2422,1584,1417,2019-03-11_12:55:07.769000
170331,2430,1554,1373,2019-03-11_12:55:07.868000
170431,2442,1558,1383,2019-03-11_12:55:08.021000
170531,2463,1584,1364,2019-03-11_12:55:08.116000
170631,2394,1584,1349,2019-03-11_12:55:08.233000
170731,2387,1584,1373,2019-03-11_12:55:08.367000
170831,2434,1585,1408,2019-03-11_12:55:08.501000
170931,2419,1584,1342,2019-03-11_12:55:08.605000
171031,2426,1584,1360,2019-03-11_12:55:08.718000
171131,2429,1585,1380,2019-03-11_12:55:08.890000
171231,2463,1594,1345,2019-03-11_12:55:09.055000
171331,2413,1579,1392,2019-03-11_12:55:09.196000
171431,2342,1585,1381,2019-03-11_12:55:09.327000
171531,2431,1584,1392,2019-03-11_12:55:09.474000
171631,2434,1578,1393,2019-03-11_12:55:09.600000
171731,2407,1584,1331,2019-03-11_12:55:09.779000
171831,2413,1584,1392,2019-03-11_12:55:09.892000
171931,2414,1567,1379,2019-03-11_12:55:10.029000
172031,2450,1567,1346,2019-03-11_12:55:10.199000
172131,2399,1581,1385,2019-03-11_12:55:10.345000
172231,2387,1579,1404,2019-03-11_12:55:10.436000
172331,2437,1583,1388,2019-03-11_12:55:10.586000
172431,2416,1589,1395,2019-03-11_12:55:10.721000
172531,2419,1584,1394,2019-03-11_12:55:10.829000
172631,2416,1584,1367,2019-03-11_12:55:10.957000
172731,2434,1584,1395,2019-03-11_12:55:11.047000
172831,2433,1584,1391,2019-03-11_12:55:11.230000
172931,2407,1584,1378,2019-03-11_12:55:11.385000
173031,2345,1585,1371,2019-03-11_12:55:11.518000
173131,2425,1583,1360,2019-03-11_12:55:11.616000
173231,2415,1583,1371,2019-03-11_12:55:11.724000
173331,2416,1579,1367,2019-03-11_12:55:11.857000
173431,2415,1583,1376,2019-03-11_12:55:11.959000
173531,2431,1588,1387,2019-03-11_12:55:12.045000
173631,2423,1581,1358,2019-03-11_12:55:12.159000
173731,2411,1584,1327,2019-03-11_12:55:12.250000
173831,2384,1582,1349,2019-03-11_12:55:12.404000
173931,2414,1557,1357,2019-03-11_12:55:12.503000
174031,2435,1582,1350,2019-03-11_12:55:12.597000
174131,2415,1585,1337,2019-03-11_12:55:12.697000
174231,2448,1584,1376,2019-03-11_12:55:12.795000
174331,2438,1583,1344,2019-03-11_12:55:12.888000
174431,2377,1535,1360,2019-03-11_12:55:12.984000
174531,2343,1558,1362,2019-03-11_12:55:13.072000
174631,2417,1554,1293,2019-03-11_12:55:13.211000
174731,2458,1584,1346,2019-03-11_12:55:13.345000
174831,2418,1584,1371,2019-03-11_12:55:13.406000
174931,2427,1585,1381,2019-03-11_12:55:13.508000
175031,2427,1584,1360,2019-03-11_12:55:13.632000
175131,2442,1581,1355,2019-03-11_12:55:13.783000
175231,2416,1583,1402,2019-03-11_12:55:13.937000
175331,2372,1584,1385,2019-03-11_12:55:14.024000
175431,2445,1583,1360,2019-03-11_12:55:14.181000
175531,2449,1584,1392,2019-03-11_12:55:14.315000
175631,2415,1584,1392,2019-03-11_12:55:14.465000
175731,2406,1584,1357,2019-03-11_12:55:14.544000
175831,2414,1584,1348,2019-03-11_12:55:14.675000
175931,2414,1584,1331,2019-03-11_12:55:14.837000
176031,2405,1582,1392,2019-03-11_12:55:14.985000
176131,2423,1584,1370,2019-03-11_12:55:15.105000
176231,2419,1584,1364,2019-03-11_12:55:15.191000
176331,2423,1583,1351,2019-03-11_12:55:15.276000
176431,2431,1583,1378,2019-03-11_12:55:15.361000
176531,2425,1575,1355,2019-03-11_12:55:15.491000
176631,2374,1558,1340,2019-03-11_12:55:15.635000
176731,2384,1558,1356,2019-03-11_12:55:15.780000
176831,2391,1585,1357,2019-03-11_12:55:15.878000
176931,2431,1584,1369,2019-03-11_12:55:16.024000
177031,2423,1559,1349,2019-03-11_12:55:16.158000
177131,2416,1562,1351,2019-03-11_12:55:16.255000
177231,2406,1580,1319,2019-03-11_12:55:16.343000
