2018-11-26_12:38:37.590000,1328.00,1554.00
2018-11-26_12:38:37.726000,1344.00,1559.00
2018-11-26_12:38:37.865000,2175.00,1562.00
2018-11-26_12:38:38.001000,3091.00,1535.00
2018-11-26_12:38:38.137000,1325.00,1535.00
2018-11-26_12:38:38.270000,1743.00,1535.00
2018-11-26_12:38:38.402000,1739.00,1533.00
2018-11-26_12:38:38.534000,1214.00,1532.00
2018-11-26_12:38:38.666000,1339.00,1535.00
2018-11-26_12:38:38.796000,2095.00,1520.00
2018-11-26_12:38:38.985000,3247.00,1520.00
2018-11-26_12:38:39.120000,1482.00,1534.00
2018-11-26_12:38:39.257000,1648.00,1502.00
2018-11-26_12:38:39.384000,1754.00,1499.00
2018-11-26_12:38:39.499000,1197.00,1505.00
2018-11-26_12:38:39.682000,1312.00,1504.00
2018-11-26_12:38:39.795000,2951.00,1511.00
2018-11-26_12:38:39.923000,3415.00,1504.00
2018-11-26_12:38:40.061000,1596.00,1507.00
2018-11-26_12:38:40.202000,1782.00,1515.00
2018-11-26_12:38:40.342000,1630.00,1495.00
2018-11-26_12:38:40.475000,1232.00,1504.00
2018-11-26_12:38:40.596000,1335.00,1525.00
2018-11-26_12:38:40.722000,1920.00,1518.00
2018-11-26_12:38:40.855000,3859.00,1499.00
2018-11-26_12:38:40.967000,2066.00,1505.00
2018-11-26_12:38:41.095000,1576.00,1504.00
2018-11-26_12:38:41.240000,1734.00,1492.00
2018-11-26_12:38:41.391000,1264.00,1488.00
2018-11-26_12:38:41.536000,1211.00,1496.00
2018-11-26_12:38:41.677000,1379.00,1517.00
2018-11-26_12:38:41.819000,1495.00,1493.00
2018-11-26_12:38:41.958000,3875.00,1514.00
2018-11-26_12:38:42.095000,2320.00,1501.00
2018-11-26_12:38:42.238000,1510.00,1520.00
2018-11-26_12:38:42.374000,1777.00,1514.00
2018-11-26_12:38:42.500000,1310.00,1499.00
2018-11-26_12:38:42.620000,1193.00,1509.00
2018-11-26_12:38:42.765000,1297.00,1511.00
2018-11-26_12:38:42.878000,1225.00,1504.00
2018-11-26_12:38:42.995000,2611.00,1492.00
2018-11-26_12:38:43.126000,3531.00,1500.00
2018-11-26_12:38:43.258000,1503.00,1490.00
2018-11-26_12:38:43.397000,1745.00,1494.00
2018-11-26_12:38:43.533000,1672.00,1501.00
2018-11-26_12:38:43.665000,1184.00,1501.00
2018-11-26_12:38:43.853000,1322.00,1506.00
2018-11-26_12:38:44.013000,1363.00,1501.00
2018-11-26_12:38:44.167000,2529.00,1478.00
2018-11-26_12:38:44.317000,2826.00,1498.00
2018-11-26_12:38:44.457000,1181.00,1506.00
2018-11-26_12:38:44.592000,1853.00,1525.00
2018-11-26_12:38:44.728000,1676.00,1519.00
2018-11-26_12:38:44.875000,1168.00,1510.00
2018-11-26_12:38:45.074000,1341.00,1509.00
2018-11-26_12:38:45.183000,2673.00,1516.00
2018-11-26_12:38:45.331000,3132.00,1503.00
2018-11-26_12:38:45.454000,1328.00,1509.00
2018-11-26_12:38:45.547000,1823.00,1514.00
2018-11-26_12:38:45.671000,1670.00,1523.00
2018-11-26_12:38:45.860000,1156.00,1509.00
2018-11-26_12:38:46.000000,1356.00,1515.00
2018-11-26_12:38:46.130000,3871.00,1517.00
2018-11-26_12:38:46.262000,2891.00,1513.00
2018-11-26_12:38:46.398000,1421.00,1523.00
2018-11-26_12:38:46.528000,1810.00,1511.00
2018-11-26_12:38:46.660000,1359.00,1504.00
2018-11-26_12:38:46.784000,1149.00,1511.00
2018-11-26_12:38:46.929000,1287.00,1520.00
2018-11-26_12:38:47.060000,3793.00,1503.00
