time,pulse,breath,gsr,datetime
"set(['2018-10-31_16:35:50.748000', 'b: 1495.00', 't: 1192179', 'g: 4095.00', 'p: 2687.00'])"
"set(['2018-10-31_16:35:50.800000', 't: 1192199', 'b: 1502.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['g: 4095.00', 't: 1192219', '2018-10-31_16:35:50.849000', 'b: 1493.00', 'p: 2687.00'])"
"set(['b: 1503.00', 'p: 2690.00', '2018-10-31_16:35:50.890000', 'g: 4095.00', 't: 1192239'])"
"set(['b: 1498.00', '2018-10-31_16:35:50.929000', 'p: 2691.00', 't: 1192259', 'g: 4095.00'])"
"set(['b: 1520.00', 't: 1192279', 'g: 4095.00', '2018-10-31_16:35:50.975000', 'p: 2687.00'])"
"set(['b: 1520.00', 't: 1192299', '2018-10-31_16:35:51.027000', 'g: 4095.00', 'p: 2689.00'])"
"set(['2018-10-31_16:35:51.082000', 't: 1192319', 'g: 4095.00', 'b: 1531.00', 'p: 2690.00'])"
"set(['2018-10-31_16:35:51.123000', 'b: 1535.00', 'p: 2679.00', 't: 1192339', 'g: 4095.00'])"
"set(['t: 1192359', 'b: 1535.00', 'g: 4095.00', '2018-10-31_16:35:51.178000', 'p: 2687.00'])"
"set(['b: 1535.00', 't: 1192379', '2018-10-31_16:35:51.221000', 'p: 2674.00', 'g: 4095.00'])"
"set(['b: 1523.00', '2018-10-31_16:35:51.267000', 't: 1192399', 'g: 4095.00', 'p: 2687.00'])"
"set(['p: 2689.00', 'b: 1517.00', 't: 1192419', 'g: 4095.00', '2018-10-31_16:35:51.318000'])"
"set(['g: 4095.00', 'b: 1517.00', '2018-10-31_16:35:51.371000', 't: 1192439', 'p: 2687.00'])"
"set(['p: 2689.00', 'b: 1518.00', '2018-10-31_16:35:51.428000', 'g: 4095.00', 't: 1192459'])"
"set(['2018-10-31_16:35:51.483000', 't: 1192479', 'b: 1510.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1518.00', 't: 1192499', '2018-10-31_16:35:51.536000', 'g: 4095.00', 'p: 2661.00'])"
"set(['b: 1520.00', 'p: 2689.00', '2018-10-31_16:35:51.583000', 'g: 4095.00', 't: 1192519'])"
"set(['b: 1523.00', '2018-10-31_16:35:51.633000', 't: 1192539', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1520.00', '2018-10-31_16:35:51.687000', 't: 1192559', 'g: 4095.00', 'p: 2687.00'])"
"set(['t: 1192579', '2018-10-31_16:35:51.742000', 'p: 2702.00', 'g: 4095.00', 'b: 1531.00'])"
"set(['b: 1526.00', '2018-10-31_16:35:51.790000', 'g: 4095.00', 't: 1192599', 'p: 2687.00'])"
"set(['b: 1520.00', 'p: 2689.00', '2018-10-31_16:35:51.831000', 't: 1192619', 'g: 4095.00'])"
"set(['b: 1506.00', 'p: 2689.00', 't: 1192639', 'g: 4095.00', '2018-10-31_16:35:51.870000'])"
"set(['2018-10-31_16:35:51.911000', 't: 1192659', 'b: 1491.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['p: 2675.00', '2018-10-31_16:35:51.952000', 'g: 4095.00', 'b: 1485.00', 't: 1192679'])"
"set(['2018-10-31_16:35:51.998000', 'b: 1481.00', 'p: 2691.00', 't: 1192699', 'g: 4095.00'])"
"set(['t: 1192719', '2018-10-31_16:35:52.045000', 'b: 1482.00', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1476.00', 'p: 2689.00', 't: 1192739', '2018-10-31_16:35:52.084000', 'g: 4095.00'])"
"set(['b: 1472.00', '2018-10-31_16:35:52.123000', 't: 1192759', 'g: 4095.00', 'p: 2687.00'])"
"set(['b: 1467.00', '2018-10-31_16:35:52.169000', 'g: 4095.00', 't: 1192779', 'p: 2687.00'])"
"set(['t: 1192799', 'b: 1470.00', '2018-10-31_16:35:52.211000', 'g: 4095.00', 'p: 2687.00'])"
