time,pulse,datetime
29619,1534,2018-11-08_10:07:24.984000
29639,1535,2018-11-08_10:07:25.116000
29659,1454,2018-11-08_10:07:25.231000
29679,1316,2018-11-08_10:07:25.335000
29699,1145,2018-11-08_10:07:25.461000
29719,984,2018-11-08_10:07:25.542000
29739,853,2018-11-08_10:07:25.669000
29759,769,2018-11-08_10:07:25.793000
29779,729,2018-11-08_10:07:25.893000
29799,739,2018-11-08_10:07:25.989000
29819,789,2018-11-08_10:07:26.103000
29839,855,2018-11-08_10:07:26.209000
29859,956,2018-11-08_10:07:26.337000
29879,1043,2018-11-08_10:07:26.445000
29899,1107,2018-11-08_10:07:26.558000
29919,1153,2018-11-08_10:07:26.661000
29939,1164,2018-11-08_10:07:26.757000
29959,1141,2018-11-08_10:07:26.858000
29979,1123,2018-11-08_10:07:26.972000
29999,1224,2018-11-08_10:07:27.077000
30019,1621,2018-11-08_10:07:27.150000
30039,2362,2018-11-08_10:07:27.230000
30059,3551,2018-11-08_10:07:27.368000
30079,3879,2018-11-08_10:07:27.478000
30099,3871,2018-11-08_10:07:27.533000
30119,3875,2018-11-08_10:07:27.592000
30139,3875,2018-11-08_10:07:27.650000
30159,3887,2018-11-08_10:07:27.708000
30179,3883,2018-11-08_10:07:27.767000
30199,3887,2018-11-08_10:07:27.844000
30219,3875,2018-11-08_10:07:27.958000
30239,3879,2018-11-08_10:07:28.071000
30259,2867,2018-11-08_10:07:28.138000
30279,1993,2018-11-08_10:07:28.224000
30299,1362,2018-11-08_10:07:28.291000
30319,1033,2018-11-08_10:07:28.357000
30339,965,2018-11-08_10:07:28.428000
30359,1105,2018-11-08_10:07:28.496000
30379,1328,2018-11-08_10:07:28.564000
30399,1520,2018-11-08_10:07:28.620000
30419,1634,2018-11-08_10:07:28.679000
30439,1648,2018-11-08_10:07:28.731000
30459,1568,2018-11-08_10:07:28.798000
30479,1416,2018-11-08_10:07:28.865000
30499,1242,2018-11-08_10:07:28.927000
30519,1074,2018-11-08_10:07:28.996000
30539,936,2018-11-08_10:07:29.121000
30559,841,2018-11-08_10:07:29.191000
30579,789,2018-11-08_10:07:29.301000
30599,784,2018-11-08_10:07:29.395000
30619,824,2018-11-08_10:07:29.507000
30639,900,2018-11-08_10:07:29.600000
30659,978,2018-11-08_10:07:29.724000
30679,1063,2018-11-08_10:07:29.809000
30699,1120,2018-11-08_10:07:29.935000
30719,1149,2018-11-08_10:07:30.077000
30739,1159,2018-11-08_10:07:30.188000
30759,1186,2018-11-08_10:07:30.291000
30779,1366,2018-11-08_10:07:30.445000
30799,1854,2018-11-08_10:07:30.584000
30819,2643,2018-11-08_10:07:30.720000
30839,3875,2018-11-08_10:07:30.834000
30859,3879,2018-11-08_10:07:30.948000
30879,3878,2018-11-08_10:07:31.076000
30899,3879,2018-11-08_10:07:31.173000
30919,3877,2018-11-08_10:07:31.272000
30939,3883,2018-11-08_10:07:31.371000
30959,3883,2018-11-08_10:07:31.473000
30979,3878,2018-11-08_10:07:31.576000
30999,2703,2018-11-08_10:07:31.674000
31019,1835,2018-11-08_10:07:31.790000
31039,1165,2018-11-08_10:07:31.899000
31059,773,2018-11-08_10:07:32.020000
31079,697,2018-11-08_10:07:32.177000
31099,880,2018-11-08_10:07:32.302000
31119,1218,2018-11-08_10:07:32.416000
31139,1589,2018-11-08_10:07:32.508000
31159,1879,2018-11-08_10:07:32.606000
31179,2021,2018-11-08_10:07:32.737000
31199,1989,2018-11-08_10:07:32.866000
31219,1817,2018-11-08_10:07:32.980000
31239,1566,2018-11-08_10:07:33.077000
31259,1291,2018-11-08_10:07:33.164000
31279,1050,2018-11-08_10:07:33.266000
31299,864,2018-11-08_10:07:33.354000
31319,736,2018-11-08_10:07:33.476000
31339,685,2018-11-08_10:07:33.578000
31359,694,2018-11-08_10:07:33.668000
31379,742,2018-11-08_10:07:33.749000
31399,817,2018-11-08_10:07:33.853000
31419,922,2018-11-08_10:07:33.960000
31439,1141,2018-11-08_10:07:34.084000
31459,1649,2018-11-08_10:07:34.201000
31479,2525,2018-11-08_10:07:34.332000
31499,3875,2018-11-08_10:07:34.472000
31519,3878,2018-11-08_10:07:34.582000
31539,3877,2018-11-08_10:07:34.676000
31559,3883,2018-11-08_10:07:34.772000
31579,3879,2018-11-08_10:07:34.901000
31599,3879,2018-11-08_10:07:35.030000
31619,3879,2018-11-08_10:07:35.152000
31639,3879,2018-11-08_10:07:35.250000
31659,3879,2018-11-08_10:07:35.340000
31679,3879,2018-11-08_10:07:35.454000
31699,3479,2018-11-08_10:07:35.578000
31719,2279,2018-11-08_10:07:35.675000
31739,1488,2018-11-08_10:07:35.815000
31759,1053,2018-11-08_10:07:35.935000
31779,950,2018-11-08_10:07:36.050000
31799,1109,2018-11-08_10:07:36.151000
31819,1371,2018-11-08_10:07:36.284000
31839,1616,2018-11-08_10:07:36.411000
