['42719', '1837.00', '1206.00', '4095.00', '2018-11-01_14:44:36.857295']
['42739', '1838.00', '1202.00', '4095.00', '2018-11-01_14:44:36.906916']
['42759', '1831.00', '1201.00', '4095.00', '2018-11-01_14:44:36.958517']
['42779', '1829.00', '1204.00', '4095.00', '2018-11-01_14:44:37.009068']
['42799', '1831.00', '1204.00', '4095.00', '2018-11-01_14:44:37.061146']
['42819', '1839.00', '1204.00', '4095.00', '2018-11-01_14:44:37.113726']
['42839', '1829.00', '1204.00', '4095.00', '2018-11-01_14:44:37.165359']
['42859', '1837.00', '1206.00', '4095.00', '2018-11-01_14:44:37.216034']
['42879', '1834.00', '1207.00', '4095.00', '2018-11-01_14:44:37.269025']
['42899', '1837.00', '1203.00', '4095.00', '2018-11-01_14:44:37.321072']
['42919', '1838.00', '1205.00', '4095.00', '2018-11-01_14:44:37.373631']
['42939', '1834.00', '1203.00', '4095.00', '2018-11-01_14:44:37.423757']
['42959', '1839.00', '1203.00', '4095.00', '2018-11-01_14:44:37.474322']
['42979', '1830.00', '1168.00', '4095.00', '2018-11-01_14:44:37.523914']
['42999', '1840.00', '1225.00', '4095.00', '2018-11-01_14:44:37.576627']
['43019', '1838.00', '1210.00', '4095.00', '2018-11-01_14:44:37.629070']
['43039', '1821.00', '1206.00', '4095.00', '2018-11-01_14:44:37.678667']
['43059', '1837.00', '1200.00', '4095.00', '2018-11-01_14:44:37.729755']
['43079', '1834.00', '1198.00', '4095.00', '2018-11-01_14:44:37.780346']
['43099', '1827.00', '1203.00', '4095.00', '2018-11-01_14:44:37.830988']
['43119', '1831.00', '1216.00', '4095.00', '2018-11-01_14:44:37.881033']
['43139', '1837.00', '1210.00', '4095.00', '2018-11-01_14:44:37.931628']
['43159', '1834.00', '1206.00', '4095.00', '2018-11-01_14:44:37.979739']
['43179', '1834.00', '1191.00', '4095.00', '2018-11-01_14:44:38.017432']
['43199', '1831.00', '1216.00', '4095.00', '2018-11-01_14:44:38.053678']
['43219', '1840.00', '1204.00', '4095.00', '2018-11-01_14:44:38.084926']
['43239', '1836.00', '1206.00', '4095.00', '2018-11-01_14:44:38.116634']
['43259', '1841.00', '1206.00', '4095.00', '2018-11-01_14:44:38.148918']
['43279', '1840.00', '1202.00', '4095.00', '2018-11-01_14:44:38.193056']
['43299', '1840.00', '1202.00', '4095.00', '2018-11-01_14:44:38.232204']
['43319', '1840.00', '1207.00', '4095.00', '2018-11-01_14:44:38.270432']
['43339', '1834.00', '1201.00', '4095.00', '2018-11-01_14:44:38.320490']
['43359', '1825.00', '1202.00', '4095.00', '2018-11-01_14:44:38.362154']
['43379', '1838.00', '1184.00', '4095.00', '2018-11-01_14:44:38.397430']
['43399', '1839.00', '1202.00', '4095.00', '2018-11-01_14:44:38.433582']
['43419', '1835.00', '1214.00', '4095.00', '2018-11-01_14:44:38.484185']
['43439', '1838.00', '1205.00', '4095.00', '2018-11-01_14:44:38.534768']
['43459', '1834.00', '1204.00', '4095.00', '2018-11-01_14:44:38.589879']
['43479', '1829.00', '1200.00', '4095.00', '2018-11-01_14:44:38.645870']
['43499', '1829.00', '1205.00', '4095.00', '2018-11-01_14:44:38.698943']
['43519', '1835.00', '1200.00', '4095.00', '2018-11-01_14:44:38.746103']
['43539', '1839.00', '1201.00', '4095.00', '2018-11-01_14:44:38.782760']
['43559', '1833.00', '1200.00', '4095.00', '2018-11-01_14:44:38.822441']
['43579', '1838.00', '1199.00', '4095.00', '2018-11-01_14:44:38.864605']
['43599', '1840.00', '1197.00', '4095.00', '2018-11-01_14:44:38.905773']
['43619', '1839.00', '1201.00', '4095.00', '2018-11-01_14:44:38.957856']
['43639', '1831.00', '1200.00', '4095.00', '2018-11-01_14:44:39.011424']
['43659', '1825.00', '1197.00', '4095.00', '2018-11-01_14:44:39.067471']
['43679', '1821.00', '1185.00', '4095.00', '2018-11-01_14:44:39.117565']
['43699', '1822.00', '1196.00', '4095.00', '2018-11-01_14:44:39.169702']
['43719', '1831.00', '1198.00', '4095.00', '2018-11-01_14:44:39.220292']
['43739', '1830.00', '1200.00', '4095.00', '2018-11-01_14:44:39.273347']
['43759', '1827.00', '1200.00', '4095.00', '2018-11-01_14:44:39.315967']
['43779', '1838.00', '1200.00', '4095.00', '2018-11-01_14:44:39.365628']
['43799', '1833.00', '1200.00', '4095.00', '2018-11-01_14:44:39.417693']
